h,t,r
2085,2086,307
2394,2395,307
2028,3110,307
3262,3263,307
4521,4522,307
4741,4742,307
4882,2086,307
2018,4522,307
6739,6740,307
6581,6786,307
4545,6842,307
7162,3110,307
5483,6740,307
2028,4522,307
8165,2086,307
657,6842,307
2028,2395,307
1169,3263,307
3780,3263,307
8663,2086,307
8165,9522,307
1264,3110,307
1432,2086,307
8695,8477,307
10383,6786,307
8545,3263,307
4741,3263,307
177,8477,307
10666,2395,307
8545,9522,307
1264,9522,307
10666,4742,307
11670,2395,307
3262,4522,307
1455,11897,307
75,2086,307
874,2086,307
3939,9522,307
3342,3263,307
3296,3263,307
2394,11897,307
12424,6786,307
8545,8477,307
1169,9522,307
2389,6786,307
2085,3110,307
1160,3263,307
6997,6740,307
3780,11897,307
10081,9522,307
12827,9522,307
6997,8477,307
5483,11897,307
4882,3110,307
11670,2086,307
8695,3110,307
1169,4522,307
4741,11897,307
10406,9522,307
4398,3110,307
6581,6842,307
10406,6740,307
2018,2086,307
6581,6740,307
8663,8477,307
2407,2086,307
7580,4522,307
2389,3263,307
4882,6786,307
1291,11897,307
3262,2086,307
3262,2395,307
2394,4742,307
10383,3263,307
1416,6786,307
3296,2395,307
8663,2395,307
10383,9522,307
1416,4522,307
6490,9522,307
2407,8477,307
7580,2086,307
2389,2395,307
1291,8477,307
2018,3110,307
2915,4742,307
3939,2086,307
7162,6842,307
3262,11897,307
6026,4522,307
6026,4742,307
1416,9522,307
3296,6842,307
3342,11897,307
1169,6786,307
397,2395,307
12986,6740,307
7580,6740,307
4398,2395,307
6490,2395,307
2028,2086,307
3780,4522,307
8695,4522,307
1455,3263,307
1291,2395,307
8695,6740,307
10383,11897,307
657,2086,307
10666,3110,307
4882,9522,307
10666,8477,307
75,4742,307
1455,2086,307
11125,4522,307
1291,9522,307
3262,6740,307
10406,8477,307
2389,6842,307
397,4742,307
7162,8477,307
2028,6786,307
4398,11897,307
8545,4742,307
6997,4742,307
12424,2086,307
3262,4742,307
1169,8477,307
1264,2086,307
1264,8477,307
3780,6786,307
1291,2086,307
6739,2395,307
