h,t,r
8,9,4
173,174,4
666,10,4
1527,9,4
1916,17,4
568,17,4
2130,9,4
2364,10,4
2477,17,4
2753,17,4
2783,9,4
2866,174,4
3297,9,4
3367,174,4
3533,17,4
3792,174,4
16,9,4
4052,17,4
4623,17,4
4815,10,4
4972,174,4
5398,10,4
5444,174,4
5627,17,4
5809,174,4
1867,10,4
6074,9,4
3367,17,4
4007,10,4
5444,10,4
6626,174,4
6823,174,4
6927,174,4
6988,174,4
7042,17,4
2470,10,4
7184,9,4
7241,9,4
7277,10,4
7304,10,4
6243,9,4
7499,174,4
7608,9,4
7685,17,4
7715,9,4
7743,9,4
7762,174,4
5055,17,4
6742,9,4
7910,17,4
8022,17,4
3126,9,4
8371,10,4
8427,17,4
8474,17,4
3283,174,4
2415,9,4
2390,10,4
5493,10,4
4132,174,4
1342,10,4
6910,17,4
4297,17,4
6340,17,4
9385,10,4
3544,10,4
9517,9,4
9537,174,4
9566,174,4
9570,9,4
2149,17,4
317,9,4
7084,17,4
7103,174,4
1342,9,4
9886,17,4
9923,17,4
3533,174,4
9991,17,4
9997,174,4
10051,9,4
10108,174,4
10129,17,4
6359,9,4
10177,10,4
1045,9,4
8044,174,4
10599,10,4
8006,9,4
10613,10,4
8575,17,4
8732,10,4
9970,17,4
7973,10,4
1426,9,4
7978,10,4
1344,9,4
5315,10,4
10889,174,4
9730,10,4
7716,10,4
10326,10,4
11004,10,4
5162,10,4
8485,9,4
11080,9,4
9616,174,4
11171,17,4
8,174,4
1422,9,4
10972,174,4
7042,10,4
11333,9,4
11378,10,4
9347,17,4
10501,9,4
10503,10,4
4866,17,4
5856,9,4
9053,9,4
11549,174,4
11554,17,4
7213,10,4
11171,9,4
7455,10,4
5406,10,4
10090,174,4
4132,17,4
10905,10,4
11697,17,4
10061,174,4
11212,17,4
8006,10,4
1045,10,4
7241,10,4
9466,10,4
989,10,4
11946,17,4
10536,9,4
3527,9,4
4593,10,4
11274,17,4
11697,9,4
7702,174,4
1834,10,4
8732,17,4
5972,10,4
8978,10,4
2681,10,4
10706,174,4
11936,9,4
7092,174,4
12012,17,4
2551,10,4
7685,9,4
12298,9,4
11787,174,4
11151,10,4
5162,17,4
7613,174,4
8904,10,4
11388,9,4
9936,10,4
1344,10,4
10923,17,4
4974,17,4
5202,9,4
7264,10,4
12462,17,4
9347,9,4
4029,10,4
11864,10,4
12551,10,4
4433,10,4
8320,10,4
6909,17,4
12338,17,4
