,h,t,r
17,34,35,17
20,40,41,20
21,42,43,21
38,75,76,34
47,93,41,20
57,110,111,20
59,114,58,48
63,121,58,48
74,141,138,56
81,153,154,62
93,175,176,48
105,198,35,17
114,213,214,73
121,227,35,17
126,236,58,20
132,246,247,20
135,250,251,21
136,242,247,84
146,268,251,89
151,277,278,48
171,313,314,20
189,346,138,107
192,351,352,109
203,371,372,20
218,398,35,17
242,441,442,123
248,450,451,21
260,473,474,127
265,481,482,20
267,485,58,48
273,495,43,89
278,503,504,20
279,505,111,20
306,554,555,119
309,560,561,145
329,597,598,153
339,615,616,154
343,623,58,20
350,634,635,48
352,637,638,73
358,648,58,84
370,40,465,20
383,687,688,119
423,752,753,123
424,754,35,17
431,765,635,84
435,772,251,21
441,781,214,73
455,802,803,20
475,834,546,20
476,835,278,20
489,854,635,84
496,865,58,187
503,878,879,191
504,880,140,20
507,884,214,73
520,904,58,48
522,906,214,73
526,912,913,62
542,939,940,197
561,461,58,48
572,985,986,200
579,996,657,154
587,1007,58,20
603,1030,58,84
604,1031,214,73
616,1050,546,20
624,1062,1063,20
680,624,1153,119
685,1159,1160,119
695,1173,247,48
721,825,251,89
723,1217,474,222
740,1244,58,84
772,1290,1291,231
778,1298,1034,48
790,1313,1314,34
793,1318,138,107
811,1341,1342,235
824,1357,1358,20
832,1370,638,73
833,1371,58,84
840,924,1381,20
844,1388,1389,123
846,726,140,20
858,1409,1410,20
872,236,58,48
897,209,251,21
901,1472,1473,21
924,1507,251,21
946,1536,638,73
951,1541,1542,258
952,1543,1544,191
960,1549,247,20
997,1599,638,73
1001,1604,1063,20
1023,1633,1634,20
1028,1642,761,48
1045,1341,1663,235
1046,1664,812,119
1063,1687,1688,20
1075,1499,138,56
1083,1715,251,21
1095,1731,1732,48
1119,1759,443,20
1127,1769,1770,281
1134,1779,1634,20
1139,1784,1785,20
1150,1642,1358,20
1171,1829,1785,20
1174,1832,138,56
1191,1856,1857,281
1197,1864,706,84
1221,1891,58,84
1231,1904,43,21
1255,1933,1934,119
1262,144,1945,34
1283,1974,214,73
1311,2011,58,84
1316,19,1034,20
1334,2037,35,17
1340,2043,251,21
1344,939,1511,123
1353,2063,1544,191
1361,2075,251,200
1363,907,986,21
1366,2080,176,20
1367,2081,2082,20
1368,2083,138,56
1369,2084,635,306
1375,2093,2094,20
1384,2106,2107,20
1391,1506,2114,20
1395,2120,58,20
1408,2137,118,20
1417,767,2146,20
1421,2150,2151,20
1422,2152,635,84
1453,2189,58,20
1459,2198,2028,62
1471,2215,2216,20
1476,2224,545,317
1495,2247,41,20
1514,2271,58,321
1542,2307,2308,119
1553,2316,214,73
1555,2058,43,21
1556,2319,2320,235
1562,2327,2328,20
1587,2358,913,154
1588,2359,58,84
1589,2360,2361,153
1602,2372,2241,325
1615,2388,1785,48
1616,1284,2389,62
1630,2406,2407,62
1650,2426,635,84
1651,2427,879,109
1665,2445,58,84
1691,861,1410,20
1692,2471,35,17
1694,2473,35,17
1709,2489,2490,331
1712,1557,442,123
1731,67,2516,334
1739,2526,41,20
1740,2527,635,20
1783,2585,706,84
1793,2595,761,20
1797,2599,214,73
1809,2612,138,107
1821,2628,214,73
1829,454,657,119
1847,2034,710,123
1852,966,986,21
1874,2686,2687,349
1877,36,2688,350
1883,470,2695,351
1899,2716,58,20
1923,2746,2217,145
1926,2750,986,200
1938,2762,1634,20
1950,2777,2778,20
1952,2780,714,20
1967,2800,58,48
2006,2842,2843,20
2009,2846,2847,281
2026,2868,251,200
2031,2396,1068,119
2033,2877,2878,368
2036,2881,2882,153
2040,2885,138,56
2057,2901,635,84
2062,2905,2906,20
2063,2907,2882,371
2085,1856,2925,281
2113,2955,1634,20
2114,1068,2361,34
2129,2972,1314,34
2133,2976,2977,20
