h,t,r
8663,4522,307
8545,4522,307
1416,3110,307
3780,2395,307
8545,6786,307
7162,11897,307
6581,8477,307
11125,6740,307
4339,2086,307
1455,8477,307
3939,11897,307
8165,3110,307
10081,6740,307
1160,2395,307
4882,6842,307
4882,2395,307
5483,3263,307
920,9522,307
11670,6786,307
2407,11897,307
8695,3263,307
1291,3263,307
4521,4742,307
12072,3110,307
2407,3110,307
2028,8477,307
4882,4742,307
5483,9522,307
11125,4742,307
177,4522,307
1455,6842,307
6739,9522,307
4545,3263,307
6997,2395,307
3342,3110,307
3296,3110,307
177,2086,307
1160,8477,307
12857,2395,307
4398,6842,307
8545,6842,307
8545,2395,307
12857,8477,307
397,3263,307
1455,2395,307
4339,3263,307
8545,6740,307
4882,3263,307
3780,3110,307
2389,11897,307
10666,4522,307
3342,2086,307
12072,6786,307
6026,6786,307
2915,4522,307
3939,6740,307
12424,2395,307
657,8477,307
1160,4522,307
12424,4742,307
13005,13364,947
13364,12781,529
1545,214,338
2543,638,338
11606,638,338
89,638,338
3100,2637,451
3100,1804,451
3100,29,451
1747,2356,451
1747,3276,451
497,394,451
3100,7171,451
1747,5629,451
1747,1038,451
3100,494,451
497,3334,451
3100,1739,451
3100,1626,451
497,1583,451
497,1035,451
497,1520,451
1747,394,451
1341,17,482
9665,17,482
2319,9,482
9842,10,482
11632,9,482
9977,9,482
8323,174,482
3940,10,482
11632,174,482
9517,9,482
11911,174,482
4221,10,482
9693,9,482
5110,17,482
585,174,482
9977,174,482
8838,5744,513
5394,2846,513
1856,8838,174
8785,8838,174
7356,798,174
3929,8838,174
3239,497,385
9662,1747,385
29,497,385
10403,497,385
2073,3100,385
29,1747,385
1435,3100,385
2356,1747,385
3526,1747,385
3992,3100,385
2260,1747,385
2064,497,385
2073,1747,385
543,1747,385
8396,3100,385
2356,3100,385
