,h,t,r
6,9182,1043,20
18,698,111,20
25,3532,3796,119
30,4530,4628,191
36,2044,3751,34
42,12028,635,20
59,6136,761,20
66,8267,138,56
70,11821,12195,62
90,1533,214,73
113,3630,43,21
117,2345,2878,368
126,8837,635,20
127,8296,10124,281
128,8296,8457,281
159,4641,635,84
163,14935,8176,154
171,3796,3882,34
176,7457,251,21
181,9754,1929,20
193,987,58,84
213,11318,251,461
218,9437,214,73
220,7434,58,84
231,4624,58,84
237,381,635,317
256,12376,913,62
258,10369,58,84
272,3646,1785,20
277,5532,1034,20
283,1621,4798,501
325,1290,6739,231
356,3570,706,84
369,8289,4933,119
377,4957,1410,84
380,3468,1358,20
387,889,3138,21
397,8642,12211,200
410,3666,3663,21
413,1577,58,84
427,7690,138,56
433,4575,138,107
437,3865,8611,566
440,8438,9429,109
451,6,0,119
457,5471,251,200
487,7333,714,20
491,6341,11249,21
500,168,41,20
501,7137,3341,84
508,9310,638,73
519,11529,397,119
534,2955,3273,20
543,7061,251,200
549,4756,12194,21
550,5474,3279,20
554,4387,879,191
587,6358,3839,20
593,10096,1785,20
602,6964,118,20
610,9725,3839,20
622,4849,3341,20
628,4199,443,20
632,9228,214,73
634,1812,41,20
655,797,10647,281
672,7071,58,317
693,7912,58,48
701,5184,13600,21
721,619,658,119
765,14,58,48
799,4846,251,21
809,1081,58,84
810,9939,138,258
823,3947,2151,20
839,8406,58,84
864,5542,58,48
865,12945,58,84
869,5452,111,20
870,13821,7611,34
879,13684,13523,963
882,2806,58,48
884,1050,761,20
889,3007,4952,197
901,643,635,84
904,448,8821,476
925,10395,58,20
942,5632,474,127
968,9054,638,73
973,3542,58,84
1019,6847,58,84
1024,10204,3632,723
1030,12126,879,109
1031,6177,635,48
1032,3061,214,73
1045,946,58,20
1055,7445,3123,20
1062,1952,251,615
1065,1173,3138,21
1082,3811,2309,20
1084,6265,35,17
1089,3957,3647,20
1107,1442,616,119
1127,6023,251,89
1128,935,6490,476
1136,7125,546,20
1139,11832,58,84
1146,13173,6420,317
1152,10678,214,73
1158,10293,138,56
1179,3257,1043,20
1204,1561,251,200
1212,398,251,21
1228,8739,635,48
1230,13350,251,655
1237,10941,58,20
1244,3868,58,84
1246,855,504,20
1254,11057,3116,84
1261,6520,214,73
1262,6520,11575,119
1265,8753,546,20
1280,2029,214,73
1292,5207,251,89
1305,13706,4069,453
1311,4247,1785,48
1312,6192,58,84
1355,5586,58,84
1362,4292,41,20
1373,3697,111,20
