,h,t,r
0,11,17,4
1,5510,174,4
2,6947,10,4
3,6776,9,4
4,3130,9,4
5,9327,9,4
6,12961,17,4
7,7855,17,4
8,11388,174,4
9,8933,9,4
10,11171,174,4
11,11771,17,4
12,11280,17,4
13,6317,9,4
14,5784,9,4
15,11946,174,4
16,13107,174,4
17,3533,9,4
18,13218,174,4
19,8854,10,4
20,2477,9,4
21,11198,10,4
22,12244,10,4
23,10889,10,4
24,11274,174,4
25,9588,10,4
26,11,9,4
27,4671,9,4
28,6625,10,4
29,1419,10,4
30,10656,10,4
31,14060,17,4
32,10108,9,4
33,13505,10,4
34,11159,17,4
35,7946,17,4
36,6455,9,4
37,1421,174,4
38,5237,9,4
39,7928,174,4
40,12961,174,4
41,13607,10,4
42,4557,174,4
43,2129,9,4
44,379,9,4
45,7999,10,4
46,10272,10,4
47,13245,174,4
48,12833,9,4
49,11975,9,4
50,6176,10,4
51,13409,10,4
52,2319,174,4
53,1426,17,4
54,12244,9,4
55,4068,9,4
56,6742,10,4
57,10715,174,4
58,8904,9,4
59,4866,10,4
60,3077,17,4
61,10657,9,4
62,12882,10,4
63,1148,10,4
64,10878,9,4
65,8622,174,4
66,9537,17,4
67,12930,10,4
68,13479,10,4
69,12029,9,4
70,1372,174,4
71,905,9,4
72,9455,174,4
73,9174,9,4
74,10326,174,4
75,10939,174,4
76,3361,10,4
77,4131,11341,4
78,3397,10,4
79,7498,10,4
80,10878,17,4
81,8463,9,4
82,5856,174,4
83,11080,174,4
84,3523,17,4
85,13040,17,4
86,10501,174,4
87,1916,9,4
88,3516,9,4
89,3516,174,4
90,3038,10,4
91,12338,10,4
92,3515,174,4
93,2149,9,4
94,7217,9,4
95,12401,10,4
96,7702,17,4
97,7369,174,4
98,10536,174,4
99,3275,10,4
100,11502,10,4
101,9634,10,4
102,10394,10,4
103,10130,17,4
104,8108,17,4
105,5084,10,4
106,1148,174,4
107,3126,17,4
108,11549,17,4
109,173,9,4
110,4297,9,4
111,9730,17,4
112,12881,9,4
113,9977,9,4
114,2679,9,4
115,11837,174,4
116,6455,17,4
117,9970,174,4
118,10104,17,4
119,12494,174,4
120,11195,17,4
121,12257,10,4
122,8904,174,4
123,1867,174,4
124,4866,174,4
125,3840,10,4
126,7613,17,4
127,10657,17,4
128,6630,10,4
129,9608,9,4
130,6988,10,4
131,3892,9,4
132,2653,17,4
133,10304,10,4
134,12056,17,4
135,11864,17,4
136,9818,174,4
137,6909,9,4
138,1426,10,4
139,7910,174,4
140,4029,174,4
141,13970,10,4
142,7828,17,4
143,12652,174,4
144,7609,17,4
145,9213,10,4
146,183,17,4
147,3840,9,4
148,8727,9,4
149,11777,17,4
150,2129,174,4
151,9371,17,4
152,11001,9,4
153,8671,17,4
154,9301,17,4
155,8772,174,4
156,13187,174,4
157,12467,10,4
158,12467,174,4
159,5747,10,4
160,11156,10,4
161,8079,9,4
162,4383,10,4
163,4557,17,4
164,905,174,4
165,10385,174,4
166,7420,9,4
167,1419,9,4
168,12930,17,4
169,11117,10,4
170,3527,10,4
171,4908,10,4
172,3544,174,4
173,11404,9,4
174,14345,9,4
175,12025,9,4
176,8463,174,4
177,6427,9,4
